"","name","father","stock","glottocode","iso","wals","level","longitude","latitude","population"
"abkh1244","Abkhazian","Abkhaz-Abaza","Abkhaz-Adyge","abkh1244","abk","abk","language",41.159115,43.056218,117350
"able1237","Ableg-Salegseg","Lubuagan Kalinga","Austronesian","able1237",NA,NA,"dialect",NA,NA,NA
"abob1234","Abo-Barombi","Basaa [A.40]","Atlantic-Congo","abob1234",NA,NA,"family",NA,NA,NA
"abom1238","Abom","Tirio","Anim","abom1238","aob",NA,"language",142.842,-8.42448,NA
"abon1238","Abon","North Tivoid","Atlantic-Congo","abon1238","abo",NA,"language",10.8769,6.90621,1000
"aboo1241","Abo [Bokyi]","Bokyi","Atlantic-Congo","aboo1241",NA,NA,"dialect",NA,NA,NA
"aboo1242","Abo","Ukwuani-Aboh-Ndoni","Atlantic-Congo","aboo1242",NA,NA,"dialect",NA,NA,NA
"abou1238","Abou Charib","Mararit","Tama [tama1329]","abou1238",NA,NA,"dialect",NA,NA,NA
"abra1237","Abra-De-Ilog","Iraya","Austronesian","abra1237",NA,NA,"dialect",NA,NA,NA
"abro1238","Abron","Akanic","Atlantic-Congo","abro1238","abr",NA,"language",-2.50289,7.72094,1181700
"abru1239","Abruzzese","Italian","Indo-European","abru1239",NA,NA,"dialect",NA,NA,NA
"absh1238","Absheron","Muslim Tat","Indo-European","absh1238",NA,NA,"dialect",NA,NA,NA
"abua1243","Abua-Odual","Central Delta","Atlantic-Congo","abua1243",NA,NA,"family",NA,NA,NA
"abua1244","Abua","Abua-Odual","Atlantic-Congo","abua1244","abn",NA,"language",6.61492,4.83057,25000
"abua1245","Abu’ Arapesh","Bukiyip-Abu","Nuclear Torricelli","abua1245","aah","aab","language",NA,NA,NA
"abui1241","Abui","Alor [alor1250]","Timor-Alor-Pantar","abui1241","abz","abv","language",124.588,-8.31058,16000
"abuj1237","Abujmaria","Maria [India]","Dravidian","abuj1237",NA,NA,"dialect",NA,NA,NA
"abul1238","Abuldugu","Burun","Nilotic","abul1238",NA,NA,"dialect",NA,NA,NA
"abun1252","Abun","Sahul","Abun","abun1252","kgr","abu","language",132.416,-0.57073,3000
"abun1253","Abun Je","Abun","Abun","abun1253",NA,NA,"dialect",NA,NA,NA
"abun1254","Abun Tat","Abun","Abun","abun1254",NA,NA,"dialect",NA,NA,NA
"abun1255","Abun Ji","Abun","Abun","abun1255",NA,NA,"dialect",NA,NA,NA
"abur1243","Abure","Western Tano","Atlantic-Congo","abur1243","abu",NA,"language",-3.64123,5.21534,55120
"abur1244","Abureni","Kugboic","Atlantic-Congo","abur1244","mgj",NA,"language",6.50634,4.62301,4000
"abus1238","Abu Sinun","Kanga","Kadugli-Krongo","abus1238",NA,NA,"dialect",NA,NA,NA
"abuu1241","Abu","Agoan","Lower Sepik-Ramu","abuu1241","ado",NA,"language",144.474,-4.24027,4200
"abzh1238","Abzhui","Abkhazian","Abkhaz-Adyge","abzh1238",NA,NA,"dialect",NA,NA,NA
"acad1238","Acadian","Standard French","Indo-European","acad1238",NA,NA,"dialect",NA,NA,NA
"acat1239","Acatepec Me’phaa","Mephaa","Otomanguean","acat1239","tpx","tlp","language",-99.0602,17.1034,54000
"acat1240","Acatepec","Acatepec Me’phaa","Otomanguean","acat1240",NA,NA,"dialect",NA,NA,NA
"acch1238","Acchami","Nepali","Indo-European","acch1238",NA,NA,"dialect",NA,NA,NA
"acha1249","Achang","High Northern Burmish","Sino-Tibetan","acha1249","acn","acn","language",97.7438,24.3479,62700
"acha1250","Achagua","Piapoco-Achagua","Arawakan","acha1250","aca","acg","language",-72.2005,4.38649,250
"ache1244","Ache [China]","Unclassified Lisoid","Sino-Tibetan","ache1244","yif",NA,"language",102.446,24.152,NA
"ache1245","Acheron","Acheron-Tocho","Narrow Talodi","ache1245","acz",NA,"language",30.3187,10.8827,NA
"ache1246","Aché","Tupi-Guarani Subgroup I","Tupian","ache1246","guq","ach","language",-56.4697,-25.5865,1360
"ache1247","Acheron-Tocho","Buram-Saraf","Narrow Talodi","ache1247",NA,NA,"family",NA,NA,NA
"achi1247","Achik","Garo","Sino-Tibetan","achi1247",NA,NA,"dialect",NA,NA,NA
"achi1255","A’chick","Garo","Sino-Tibetan","achi1255",NA,NA,"dialect",NA,NA,NA
"achi1256","Achi","Quiche-Achi","Mayan","achi1256","acr",NA,"language",-90.3513,15.073,37300
"achi1257","Achinese","Aceh-Chamic","Austronesian","achi1257","ace","ace","language",96.6032,3.90757,3500000
"achp1238","Achpar","Qimant","Afro-Asiatic","achp1238",NA,NA,"dialect",NA,NA,NA
"acht1238","Achterhoeks","Low German","Indo-European","acht1238","act",NA,"language",6.47521,52.021,NA
"achu1247","Achumawi","Palaihnihan","Palaihnihan","achu1247","acv","acm","language",-121.191,41.0979,16
"achu1248","Achuar-Shiwiar","Shuaric","Jivaroan","achu1248","acu","acu","language",-77.2641,-2.82646,5000
"acii1238","Aci","Apali","Nuclear Trans New Guinea","acii1238",NA,NA,"dialect",NA,NA,NA
"acol1236","Acoli","Southern Lwoo","Nilotic","acol1236","ach","acl","language",32.5147,3.57738,1215000
"acom1246","Acoma","Western Keres","Keresan","acom1246",NA,NA,"dialect",NA,NA,NA
"acro1239","Acroá","Je Central","Nuclear-Macro-Je","acro1239","acs",NA,"language",-40.2145,-12.594,0
"adaa1238","Ada","Adangme","Atlantic-Congo","adaa1238",NA,NA,"dialect",NA,NA,NA
"adai1235","Adai","North America","Adai","adai1235","xad",NA,"language",-92.0059,31.6314,NA
"adam1253","Adamawa Fulfulde","Fula-Eastern","Atlantic-Congo","adam1253","fub","fua","language",13.077338,8.140326,919600
"adam1254","Adamawa-Fali","Unclassified Volta-Congo","Atlantic-Congo","adam1254",NA,NA,"family",NA,NA,NA
"adam1257","Adamawa Bua","Mbum-Day","Atlantic-Congo","adam1257",NA,NA,"family",NA,NA,NA
"adam1258","Adamawa-Ubangi","North Volta-Congo","Atlantic-Congo","adam1258",NA,NA,"family",NA,NA,NA
"adam1259","Adamawa","Adamawa-Ubangi","Atlantic-Congo","adam1259",NA,NA,"family",NA,NA,NA
"adan1247","Adangme","Ga-Dangme","Atlantic-Congo","adan1247","ada",NA,"language",0.13243,5.9437,8e+05
"adan1248","Adangbe","Western Gbe","Atlantic-Congo","adan1248","adq",NA,"language",0.727155,6.50546,2200
"adan1249","Adan","Ewe","Atlantic-Congo","adan1249",NA,NA,"dialect",NA,NA,NA
"adan1250","Adang [Lundayeh]","Lundayeh","Austronesian","adan1250",NA,NA,"dialect",NA,NA,NA
"adan1251","Adang","Adang-Hamap-Kabola","Timor-Alor-Pantar","adan1251","adn","adg","language",124.448,-8.18958,31814
"adan1252","Adang-Hamap-Kabola","Straits West Alor","Timor-Alor-Pantar","adan1252",NA,NA,"family",NA,NA,NA
"adar1242","Adarawa","Western Hausa","Afro-Asiatic","adar1242",NA,NA,"dialect",NA,NA,NA
"adas1235","Adasen","Ibanagic","Austronesian","adas1235","tiu",NA,"language",120.905,17.8187,4000
"adel1244","Adele","Basila-Adele","Atlantic-Congo","adel1244","ade",NA,"language",0.619185,8.16975,27300
"aden1241","Adeni","Ta’izzi-Adeni Arabic","Afro-Asiatic","aden1241",NA,NA,"dialect",NA,NA,NA
"aden1242","’Aden","Judeo-Yemeni Arabic","Afro-Asiatic","aden1242",NA,NA,"dialect",NA,NA,NA
"ader1239","Aderawa","Hausa","Afro-Asiatic","ader1239",NA,NA,"dialect",NA,NA,NA
"adew1237","Adewada","Maria [India]","Dravidian","adew1237",NA,NA,"dialect",NA,NA,NA
"adga1237","Adgawan","Agusan Manobo","Austronesian","adga1237",NA,NA,"dialect",NA,NA,NA
"adha1237","Adham","Rade","Austronesian","adha1237",NA,NA,"dialect",NA,NA,NA
"adha1238","Adhari","Tatic [tati1243]","Indo-European","adha1238",NA,NA,"language",NA,NA,NA
"adho1241","Adhola-Alur-Luo","Southern Lwoo","Nilotic","adho1241",NA,NA,"family",NA,NA,NA
"adho1242","Adhola-Luo","Adhola-Alur-Luo","Nilotic","adho1242",NA,NA,"family",NA,NA,NA
"adho1243","Adhola","Adhola-Luo","Nilotic","adho1243","adh",NA,"language",34.0341,0.73235,360000
"adib1240","Adibom","Odual","Atlantic-Congo","adib1240",NA,NA,"dialect",NA,NA,NA
"adid1237","Adi Dravida","Tamil","Dravidian","adid1237",NA,NA,"dialect",NA,NA,NA
"adie1238","Adie","Bakoko","Atlantic-Congo","adie1238",NA,NA,"dialect",NA,NA,NA
"adih1238","Adihup","Hatam","Hatam-Mansim","adih1238",NA,NA,"dialect",NA,NA,NA
"adij1237","Adijaya","Kowiai","Austronesian","adij1237",NA,NA,"dialect",NA,NA,NA
"adim1238","Adim","Agwagwune","Atlantic-Congo","adim1238",NA,NA,"dialect",NA,NA,NA
"adio1239","Adioukrou","Agneby","Atlantic-Congo","adio1239","adj","adi","language",-4.52522,5.38228,1e+05
"adiv1238","Adivasi Wagdi","Wagdi","Indo-European","adiv1238",NA,NA,"dialect",NA,NA,NA
"adiv1239","Adivasi Oriya","Macro-Oriya","Indo-European","adiv1239","ort","oko","language",82.8487,18.1046,152370
"adiw1235","Adiwasi Garasia","Garasia Bhil","Indo-European","adiw1235","gas",NA,"language",73.1426,24.0712,1e+05
"adiy1237","Adiya","Ravula","Dravidian","adiy1237",NA,NA,"dialect",NA,NA,NA
"adja1238","Adjabdurah","Narungga","Pama-Nyungan","adja1238",NA,NA,"dialect",NA,NA,NA
"adju1239","Adjumani","Ma’di","Central Sudanic","adju1239",NA,NA,"dialect",NA,NA,NA
"adku1239","Adkuri","Halbi","Indo-European","adku1239",NA,NA,"dialect",NA,NA,NA
"admi1239","Admiralty Islands","Oceanic","Austronesian","admi1239",NA,NA,"family",NA,NA,NA
"adny1235","Adnyamathanha","Northern Thura-Yura","Pama-Nyungan","adny1235","adt","adn","language",138.671,-30.1451,130
"adom1238","Adoma","C’lela","Atlantic-Congo","adom1238",NA,NA,"dialect",NA,NA,NA
"adon1237","Adonara","North Lembata","Austronesian","adon1237","adr",NA,"language",123.159,-8.32027,16967
"adoo1237","Ado","Ledo Kaili","Austronesian","adoo1237",NA,NA,"dialect",NA,NA,NA
"adoy1238","Adoyo","Anuak","Nilotic","adoy1238",NA,NA,"dialect",NA,NA,NA
"adun1238","Adun","Cross River Mbembe","Atlantic-Congo","adun1238",NA,NA,"dialect",NA,NA,NA
"aduu1238","Adu","Tabaru","North Halmahera","aduu1238",NA,NA,"dialect",NA,NA,NA
"adyg1241","Adyghe","Circassian","Abkhaz-Adyge","adyg1241","ady","ady","language",39.33,44,499180
"adze1240","Adzera","Upper Markham","Austronesian","adze1240","adz","adz","language",146.294,-6.39394,NA
"adzh1238","Adzhar","Modern Georgian","Kartvelian","adzh1238",NA,NA,"dialect",NA,NA,NA
"aegi1237","Aegina","Group 1","Indo-European","aegi1237",NA,NA,"dialect",NA,NA,NA
"aeka1243","Aeka","Binandere","Nuclear Trans New Guinea","aeka1243",NA,NA,"dialect",NA,NA,NA
"aeka1244","Aeka [Orokaivan]","Orokaivic","Nuclear Trans New Guinea","aeka1244","aez",NA,"language",148.09,-8.79019,NA
"aeky1238","Aekyom","Awin-Pa","Awin-Pa","aeky1238","awi","awi","language",141.532,-5.88478,8000
"aerr1238","Aer","Western Gujaratic","Indo-European","aerr1238","aeq",NA,"language",69.029,25.254,150
"aewa1238","Aewa [aewa1238]","Kuni-Boazi","Anim","aewa1238",NA,NA,"dialect",NA,NA,NA
"afaa1238","Afa","Arigidi","Atlantic-Congo","afaa1238",NA,NA,"dialect",NA,NA,NA
"afad1236","Afade","Kotoko Septentrional","Afro-Asiatic","afad1236","aal","ktk","language",14.6343,12.0551,36000
"afar1241","Afar","Saho-Afar","Afro-Asiatic","afar1241","aar","qaf","language",41.8083,12.2281,1078200
"afas1238","Af-Ashraaf","Somali","Afro-Asiatic","afas1238",NA,NA,"dialect",NA,NA,NA
"afen1234","Afenmai-Bendel","North-Central Edoid","Atlantic-Congo","afen1234",NA,NA,"family",NA,NA,NA
"affa1240","Affade","Lagwan","Afro-Asiatic","affa1240",NA,NA,"dialect",NA,NA,NA
"affi1239","Affiniam","Bandial","Atlantic-Congo","affi1239",NA,NA,"dialect",NA,NA,NA
"afgh1238","Afghanistan-Uzbekistan Arabic","Eastern Arabic","Afro-Asiatic","afgh1238",NA,NA,"family",NA,NA,NA
"afgh1240","Afghanistan Gorbat","Persian-Romani [Mixed Language]","Mixed Language","afgh1240",NA,NA,"language",NA,NA,NA
"afhe1238","Af-Helledi","Maay","Afro-Asiatic","afhe1238",NA,NA,"dialect",NA,NA,NA
"afik1238","Afikpo","Nuclear Igbo","Atlantic-Congo","afik1238",NA,NA,"dialect",NA,NA,NA
"afit1238","Afitti","Nyimang","Nyimang","afit1238","aft",NA,"language",30.7611,12.446,4512
"afor1239","Afore","Ese","Koiarian","afor1239",NA,NA,"dialect",NA,NA,NA
"afri1271","Afridi","Northeastern Pashto","Indo-European","afri1271",NA,NA,"dialect",NA,NA,NA
"afri1272","Afrike","Putukwam","Atlantic-Congo","afri1272",NA,NA,"dialect",NA,NA,NA
"afri1273","Afrikaansic","Low Franconian","Indo-European","afri1273",NA,NA,"family",NA,NA,NA
"afri1274","Afrikaans","Afrikaansic","Indo-European","afri1274","afr","afr","language",30,-22,4934950
"afro1254","Afro-Seminole Creole","Gullah [gull1243]","Indo-European","afro1254","afs",NA,"language",-99.2934,31.7843,NA
"afro1255","Afro-Asiatic","Africa","Afro-Asiatic","afro1255",NA,NA,"family",NA,NA,NA
"afsh1238","Afshari","South Azerbaijani","Turkic","afsh1238",NA,NA,"dialect",NA,NA,NA
"afud1235","Afudu","Yukubenic","Atlantic-Congo","afud1235",NA,NA,"language",NA,NA,NA
"agaa1241","Aga","Mongolia Buriat","Mongolic","agaa1241",NA,NA,"dialect",NA,NA,NA
"agaa1242","Aga [China]","China Buriat","Mongolic","agaa1242",NA,NA,"dialect",NA,NA,NA
"agal1241","Agalo","Gumuz","Gumuz","agal1241",NA,NA,"dialect",NA,NA,NA
"agam1238","Agam","Minangkabau","Austronesian","agam1238",NA,NA,"dialect",NA,NA,NA
"agar1249","Agar","South Central Dinka","Nilotic","agar1249",NA,NA,"dialect",NA,NA,NA
"agar1250","Agari of Kolaba","Konkani","Indo-European","agar1250",NA,NA,"dialect",NA,NA,NA
"agar1252","Agarabi","Gadsup-Agarabi","Nuclear Trans New Guinea","agar1252","agd","aga","language",145.917,-6.20604,26996
"agat1236","Agatu","Nuclear Idoma","Atlantic-Congo","agat1236","agc",NA,"language",7.71639,7.97915,70000
"agau1239","Agaunshe","Tsikimba","Atlantic-Congo","agau1239",NA,NA,"dialect",NA,NA,NA
"agba1238","Agbarho","Urhobo","Atlantic-Congo","agba1238",NA,NA,"dialect",NA,NA,NA
"agbo1241","Agbome","Fon","Atlantic-Congo","agbo1241",NA,NA,"dialect",NA,NA,NA
"agbo1242","Agbon","Urhobo","Atlantic-Congo","agbo1242",NA,NA,"dialect",NA,NA,NA
"agee1238","Ageer","Northeastern Dinka","Nilotic","agee1238",NA,NA,"dialect",NA,NA,NA
"aghe1239","Aghem","West Ring","Atlantic-Congo","aghe1239","agq","agh","language",10.0807,6.38956,26727
"agho1238","Agholo","Ogbia","Atlantic-Congo","agho1238",NA,NA,"dialect",NA,NA,NA
"aghu1253","Aghul","East Lezgic","Nakh-Daghestanian","aghu1253","agx","agl","language",47.5843,41.9242,28332
"aghu1254","Aghu Tharnggalu","Rarmul Pama","Pama-Nyungan","aghu1254","ggr",NA,"language",142.426,-13.735,0
"aghu1255","Aghu","Mappi-Digul Awyu","Nuclear Trans New Guinea","aghu1255","ahh","ahu","language",140.043,-6.34674,3000
"aghw1237","Aghwan","Udi-Aghwan","Nakh-Daghestanian","aghw1237","xag",NA,"language",NA,NA,NA
"agii1244","Agi [Moru]","Moru","Central Sudanic","agii1244",NA,NA,"dialect",NA,NA,NA
"agii1245","Agi","Agi-Yeri","Nuclear Torricelli","agii1245","aif",NA,"language",142.387,-3.49104,955
"agiy1234","Agi-Yeri","West Palai","Nuclear Torricelli","agiy1234",NA,NA,"family",NA,NA,NA
"agne1238","Agneby","Nyo","Atlantic-Congo","agne1238",NA,NA,"family",NA,NA,NA
"agoa1234","Agoan","Lower Sepik-Ramu","Lower Sepik-Ramu","agoa1234",NA,NA,"family",NA,NA,NA
"agob1244","Agob","Pahoturi","Pahoturi","agob1244","kit",NA,"language",142.532,-9.08521,2436
"agob1245","Agöb","Agob","Pahoturi","agob1245",NA,NA,"dialect",NA,NA,NA
"agoi1244","Agoi [Gen]","Gen","Atlantic-Congo","agoi1244",NA,NA,"dialect",NA,NA,NA
"agoi1245","Agoi-Doko-Iyoniyong","Upper Cross","Atlantic-Congo","agoi1245",NA,NA,"family",NA,NA,NA
"agoi1246","Agoi","Agoi-Doko-Iyoniyong","Atlantic-Congo","agoi1246","ibm",NA,"language",8.21629,5.87953,12000
"agon1238","Agona","Akan","Atlantic-Congo","agon1238",NA,NA,"dialect",NA,NA,NA
"agra1238","Agrab","Birgit","Afro-Asiatic","agra1238",NA,NA,"dialect",NA,NA,NA
"agta1234","Agta-Pahanan","Paranan-Pahanan","Austronesian","agta1234","apf",NA,"language",NA,NA,NA
"agua1252","Aguacateco","Ixilan","Mayan","agua1252","agu","agu","language",-91.3153,15.3307,18000
"agua1253","Aguaruna","Jivaroan","Jivaroan","agua1253","agr","agr","language",-77.9218,-5.30044,38290
"agua1254","Aguarico","Cofán","Cofán","agua1254",NA,NA,"dialect",NA,NA,NA
"aguf1237","Agufi","Fagani","Austronesian","aguf1237",NA,NA,"dialect",NA,NA,NA
"agul1243","Agulis","Modern Armenian","Indo-European","agul1243",NA,NA,"dialect",NA,NA,NA
"agul1244","Agul","Aghul","Nakh-Daghestanian","agul1244",NA,NA,"dialect",NA,NA,NA
"agun1238","Aguna","Western Gbe","Atlantic-Congo","agun1238","aug",NA,"language",1.74452,7.49256,3470
"aguo1238","Aguok","Southwestern Dinka","Nilotic","aguo1238",NA,NA,"dialect",NA,NA,NA
"agus1235","Agusan Manobo","East Central Manobo","Austronesian","agus1235","msm",NA,"language",125.742,8.62731,60000
"agut1237","Agutaynen","Kalamian","Austronesian","agut1237","agn",NA,"language",119.655,10.5328,15000
"aguu1241","Agu","Rawang","Sino-Tibetan","aguu1241",NA,NA,"dialect",NA,NA,NA
"aguu1242","Agu [Ewe]","Ewe","Atlantic-Congo","aguu1242",NA,NA,"dialect",NA,NA,NA
"agwa1246","Agwatashi","Alago","Atlantic-Congo","agwa1246",NA,NA,"dialect",NA,NA,NA
"agwa1247","Agwagwune","Kohumonoic","Atlantic-Congo","agwa1247","yay",NA,"language",8.03166,5.81055,20000
"ahaf1238","Ahafo","Akan","Atlantic-Congo","ahaf1238",NA,NA,"dialect",NA,NA,NA
"ahan1243","Ahanta","Southern Bia","Atlantic-Congo","ahan1243","aha",NA,"language",-1.94657,4.85147,142000
"ahan1244","Àhàn","Ayere-Ahan","Atlantic-Congo","ahan1244","ahn",NA,"language",6.00896,7.44139,300
"ahea1235","Aheave","Keoru-Ahia","Nuclear Eleman","ahea1235",NA,NA,"dialect",NA,NA,NA
"ahei1238","Aheima","Ngile","Narrow Talodi","ahei1238",NA,NA,"dialect",NA,NA,NA
"aher1237","Aheri","Southern Gondi","Dravidian","aher1237",NA,NA,"dialect",NA,NA,NA
"aheu1239","Aheu","Chutic [chut1252]","Austroasiatic","aheu1239","thm",NA,"language",104.229,17.7655,2520
"ahin1234","Ahin-Kayapa Kalanguya","Kallahan","Austronesian","ahin1234",NA,NA,"family",NA,NA,NA
"ahir1242","Ahiri","Bhili","Indo-European","ahir1242",NA,NA,"dialect",NA,NA,NA
"ahkk1235","AHK","South Omotic","South Omotic","ahkk1235",NA,NA,"family",NA,NA,NA
"ahom1240","Ahom","Southwestern Tai P","Tai-Kadai","ahom1240","aho",NA,"language",88.464,27.2778,0
"ahou1236","Ahouic","Northern Gelao","Tai-Kadai","ahou1236",NA,NA,"family",NA,NA,NA
"ahte1237","Ahtena","Northern Athapaskan","Athapaskan-Eyak-Tlingit","ahte1237","aht","aht","language",-144.889,61.7068,35
"ahua1238","Ahuatempan Popoloca","Santa Inés Ahuatempan Popoloca","Otomanguean","ahua1238",NA,NA,"dialect",NA,NA,NA
"ahwa1235","Ahwai","Benue-Congo Plateau","Atlantic-Congo","ahwa1235","nfd",NA,"language",8.56205,9.17635,NA
"ahwa1239","Ahwaz","Nuclear Mandaic","Afro-Asiatic","ahwa1239",NA,NA,"dialect",NA,NA,NA
"aial1237","Ai’alu","Molima","Austronesian","aial1237",NA,NA,"dialect",NA,NA,NA
"aian1241","Aian","Annaberg","Lower Sepik-Ramu","aian1241",NA,NA,"family",NA,NA,NA
"aibo1237","Aibondeni","Wandamen","Austronesian","aibo1237",NA,NA,"dialect",NA,NA,NA
"aich1238","Ai-Cham","Mak-Ai-Cham","Tai-Kadai","aich1238","aih",NA,"language",107.844,25.4908,2700
"aiew1238","Aiewomba","Safeyoka","Angan","aiew1238",NA,NA,"dialect",NA,NA,NA
"aigh1235","Aighon","Pasismanua","Austronesian","aigh1235","aix",NA,"language",150.272,-5.99488,2000
"aigo1239","Aigon","Aighon","Austronesian","aigo1239",NA,NA,"dialect",NA,NA,NA
"aika1237","Aikanã","South America","Aikanã","aika1237","tba","aik","language",-60.5353,-12.6695,180
"aikl1237","Aiklep","West Arawe","Austronesian","aikl1237","mwg",NA,"language",149.571,-6.23575,3697
"aiko1237","Aikoa","Mori Atas","Austronesian","aiko1237",NA,NA,"dialect",NA,NA,NA
"aima1241","Aimaq","Eastern Farsic","Indo-European","aima1241","aiq",NA,"language",59.1756,35.283,650000
"aima1242","Aimara","Kunama","Kunama","aima1242",NA,NA,"dialect",NA,NA,NA
"aime1238","Aimele","Bosavi Watershed","Bosavi","aime1238","ail",NA,"language",142.656,-6.68656,138
"aimo1244","Aimol","Aimol-Syriem","Sino-Tibetan","aimo1244","aim",NA,"language",94.3556,24.6437,2643
"aimo1245","Aimoli","Adang","Timor-Alor-Pantar","aimo1245",NA,NA,"dialect",NA,NA,NA
"aimo1246","Aimore","Nuclear-Macro-Je","Nuclear-Macro-Je","aimo1246",NA,NA,"family",NA,NA,NA
"aimo1247","Aimol-Syriem","Old Kuki","Sino-Tibetan","aimo1247",NA,NA,"family",NA,NA,NA
"ainb1238","Ainbai","Pagi-Kilmeri","Border","ainb1238","aic",NA,"language",141.149,-3.09214,100
